"year","term","subject","subject_abbr","course","course_num","course_numeric","seminar","ind_study","apprenticeship","internship","honors_contracts","laboratory","special_topic"
2018,"Fall","Aerospace Studies","AERO ST","Leadership Laboratory","A",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2018,"Fall","Aerospace Studies","AERO ST","Heritage and Values","1A",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","Aerospace Studies","AERO ST","Team and Leadership Fundamentals","20A",20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","Aerospace Studies","AERO ST","Air Force Leadership Studies","130A",130,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","Aerospace Studies","AERO ST","National Security Affairs/Preparation for Active Duty","140A",140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Introduction to Black Studies","1",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","African American Musical Heritage","M12A",12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","UCLA Centennial Initiative: Arthur Ashe and Second Half of 20th Century","19",19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","UCLA Centennial Initiative: Social Justice, Student Activism, and Academic Advancement Program","19",19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Student Research Program","99",99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African American Studies","AF AMER","Early African American Literature","M104A",104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Issues in Pan-African Biography and Autobiography","105B",105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Race, Inequality, and Public Policy","M120",120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Topics in African American Literature: Toni Morrison's Literary Trilogy","M179A",179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Special Courses in African American Studies","188A",188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Special Courses in African American Studies: Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty","188A",188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Special Courses in African American Studies: Sunken Place: Racism, Survival, and Black Horror Aesthetic","188A",188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Individual Studies for USIE Facilitators","188SA",188,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African American Studies","AF AMER","Variable Topics Research Seminars: Afro-American Studies","C191",191,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African American Studies","AF AMER","Variable Topics Research Seminars: Afro-American Studies: Microphone Fiends: Hip-Hop and Spoken Word","C191",191,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African American Studies","AF AMER","Culture, Communications, and Human Development Research Group Seminars","M194C",194,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African American Studies","AF AMER","Honors Research in Afro-American Studies","198",198,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African American Studies","AF AMER","Directed Research or Senior Project in Afro-American Studies","199",199,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African American Studies","AF AMER","Advanced Historiography: African American","M200A",200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Political Economy of Race","M200B",200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Survey of Afro-American Research","270A",270,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Special Topics in Afro-American Studies: African Americans and Latino Relations in U.S.","C291",291,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Special Topics in Afro-American Studies: Black Studies Movement","C291",291,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Teaching Apprentice Practicum","375",375,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African American Studies","AF AMER","Directed Readings and Tutorials","596",596,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Preparation for M.A. Comprehensive Examination","597",597,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African American Studies","AF AMER","Research for and Preparation of M.A. Thesis","598",598,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African Studies","AFRC ST","Africa and Professions","201B",201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African Studies","AFRC ST","Directed Individual Study or Research","596",596,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","African Studies","AFRC ST","Preparation for M.A. Comprehensive Examination","597",597,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","African Studies","AFRC ST","Research for and Preparation of M.A. Thesis","598",598,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2018,"Fall","American Indian Studies","AM IND","Introduction to American Indian Studies","M10",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","American Indian Studies","AM IND","Language Endangerment and Linguistic Revitalization","M162",162,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,"Fall","American Indian Studies","AM IND","Cultural World Views of Native America","M200B",200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
