"mach_learn","truth"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
"pred_fashion","fashion"
